55.7540471,37.620405,64,"Минское 35, Гипермаркет МЕТРО"
55.7801945,37.6339109,65,"Мира 40, ТЦ ""Gardenmir"" (-1 этаж)"
55.5940131,37.7349639,66,"МКАД 24 км, Гипермаркет ""Леруа Мерлен"""
55.6935838,37.5475352,67,"Молодежная 11, Гипермаркет ""GLOBUS"""
55.9165402,37.7589629,68,"Мытищи, Шараповский 2, ТРК ""Красный Кит"""
55.4111039,36.7136285,69,"Наро-Фоминск, Кубинское ш. 5, Супермаркет ""АТАК"""
55.7399315,37.8610961,70,"Новокосинская 22, торговый центр ""МИГ"""
55.6715578,37.306467,71,"Одинцово, ул. Восточная, д. 17, корп.А, ТЦ ""Зельгрос"""
55.653840,37.178132,72,"Одинцово, Юдино 55Е, Гипермаркет ""GLOBUS"""
55.6212919,37.7296057,73,"Ореховый 14, ТРЦ «Домодедовский»"
55.6130887,37.7190607,74,"Ореховый 15 с1, Супермаркет ""Перекресток"""
55.7591665,37.4093329,75,"Осенний бульвар 12, РК ""Крылатский"""
55.7921743,37.7870669,76,"Первомайская 42, ТЦ ""Измайловский"""
55.7591902,37.6434342,77,"Покровка 11, Аптека Доктор Столетов"
55.7331789,37.5923134,78,"пр. Комсомольский 4, Азбука Вкуса"
55.7465563,37.5374209,79,"Пресненская 10, ЭНКА"
55.7492839,37.5395966,80,"Пресненская 2, ТРЦ ""Афимолл Сити"" - 2 этаж"
55.7594844,37.8337703,81,"Прокатная 2, ""Супермаркет BILLA"""
55.9919415,37.2143116,82,"Пролетарская 2 корп. 2, ТД ""Подмосковье"""
55.565882,38.2265674,83,"Раменское , Вокзальная 4, корп.Б, ТРЦ «Солнечный»"
55.7146158,37.8835661,84,"Святоозерская 1А, ""Гипермаркет ""О'Кей"""
55.6596401,37.5733209,85,"Севастопольский 28, Супермаркет ""Виктория"""
56.2903732,38.1524966,86,"Сергиев Посад, Центральная 1, супермаркет АТАК"
55.7504158,37.6531269,87,"Серебряническая 29, БЦ ""Silver City"""
55.7228954,37.3971576,88,"Толбухина 13 к.3, Супермаркет ""АТАК"""
